"Mã","Nguồn → đích","Nội dung chính","Kênh/tần suất","Kiểm tra và lưu trữ"
"F01","Candidate → P1","Join code, thông tin hoặc kết quả xác thực","REST, khi tham gia","Trạng thái kỳ thi, thời hạn mã, phương thức auth"
"F02","P1 → Candidate","Metadata kỳ thi, effective policy, kết quả auth","REST response","Chỉ trả trường cần cho setup; không trả secret"
"F03","Admin/Manager → P1","Organization, exam, policy, assignment","REST, theo thao tác","Cookie/user token, capability, tenant scope, optimistic lock"
"F04","P1 → P2","Candidate identity và policy đã giải quyết","Nội bộ server","Gắn đúng exam/version trước khi tạo session"
"F05","Candidate → P2","Consent, preflight và device identity","REST, một lần hoặc khi retry","Bắt buộc điều kiện theo policy; lưu session/device state"
"F06","P2 → P3","Session ID/token, client type và capability","WebSocket hello","Token đúng loại, session ownership, lease kết nối"
"F07","Client → P3","Telemetry, violation, snapshot, browser event, heartbeat","WebSocket; telemetry theo chu kỳ, event theo phát sinh","Pydantic strict schema, sequence/dedup, giới hạn payload"
"F08","P3 → DS1","Risk/integrity/session/device current state","Mỗi cập nhật hợp lệ","Dữ liệu dẫn xuất được tính/đối chiếu phía server"
"F09","P3 → DS2","Signals, transition, violation, browser event, snapshot","Append theo sự kiện/lô","Tên file cho phép, hash/magic bytes, đường dẫn trong session"
"F10","P3 → P4","Cập nhật phiên đã kiểm chứng","WebSocket realtime","Chỉ fan-out sau authz/validation; Redis pub/sub nếu đa process"
"F11","Proctor → P4","Truy vấn dashboard, filter, session detail, review","REST/WebSocket","User cookie, ticket dùng một lần, exam assignment"
"F12","P4 → Proctor","KPI, risk, integrity, alert, timeline, evidence","REST ban đầu + WebSocket cập nhật","Lọc theo tenant/exam; escape dữ liệu trước khi đưa vào DOM"
"F13","P4 → DS1","Verdict, ghi chú review và audit metadata","REST theo thao tác","Capability review, reviewer ID, timestamp server"
"F14","Manager/Proctor → P5","Yêu cầu sinh báo cáo","REST, theo yêu cầu","Capability export; tạo ReportJob pending"
"F15","DS1 → P5","Metadata kỳ thi/phiên, current state, review","Truy vấn khi worker xử lý","Session/report job phải tồn tại và đúng trạng thái"
"F16","DS2 → P5","Timeline, violation, browser event và snapshot","Đọc tuần tự khi dựng report","Tolerant với file thiếu; snapshot phải nằm trong session root"
"F17","P5 → DS3","HTML/PDF, chart và trạng thái job","Sau khi tổng hợp","Chỉ completed khi output thành công; lỗi ghi failed"
"F18","DS3/P5 → người dùng","Trạng thái job và tệp báo cáo","REST/download","Authorization được kiểm tra lại tại thời điểm tải"
