"Tiêu chí","Sản phẩm thương mại","Dự án mã nguồn mở đối chứng","Hệ thống của đồ án"
"Minh bạch thuật toán","Hạn chế do nền tảng đóng","Có thể đọc mã nguồn","Mã nguồn và cấu hình được quản lý trong kho mã nguồn"
"Webcam/CV","Có, tùy sản phẩm và chính sách","Một số tín hiệu đơn lẻ","Bảy tín hiệu và chuỗi xử lý dùng chung"
"Xử lý theo thời gian","Không công bố đầy đủ","Chủ yếu ngưỡng/bộ đếm đơn giản","Debounce, cửa sổ trượt, state machine hai cấp"
"Xác thực trong phiên","Có thể có, chi tiết tùy sản phẩm","Không kiểm tra liên tục bằng véc-tơ đặc trưng","Đăng ký khuôn mặt, kiểm tra sự hiện diện sống cơ bản và xác minh lại định kỳ"
"Toàn vẹn trình duyệt","Thường có","Không phải trọng tâm","Tiện ích mở rộng và điểm toàn vẹn tách khỏi rủi ro CV"
"Nhiều tổ chức và phân quyền","Có","Không","RBAC, phạm vi tổ chức và nhiệm vụ theo kỳ thi"
"Giám sát thời gian thực","Có","Chủ yếu hiển thị cục bộ","Bảng điều khiển WebSocket theo kỳ thi"
"Bằng chứng và hậu kiểm","Có","Báo cáo cơ bản","JSONL, ảnh chụp, hậu kiểm sự cố và tác vụ báo cáo"
"Khả năng triển khai quy mô lớn","Sản phẩm hoàn chỉnh","Không đặt mục tiêu","Mức đồ án/triển khai có kiểm soát; còn giới hạn"
"Khả năng kiểm thử và thay đổi thuật toán","Không kiểm soát mã nguồn","Có nhưng kiến trúc đơn giản","Giao diện lập trình, cấu hình tập trung và kiểm thử nhiều tầng"
