"Mã","Nhóm","Yêu cầu"
"NFR-SEC-01","Bảo mật","Mọi REST, WebSocket và file download phải kiểm tra authentication, tenant và resource scope tại backend."
"NFR-SEC-02","Bảo mật","Không đặt bearer token dài hạn trong URL WebSocket; ticket browser phải ngắn hạn và dùng một lần."
"NFR-SEC-03","Bảo mật","Message, ảnh và metadata từ client phải được coi là đầu vào không tin cậy và được kiểm tra chặt."
"NFR-SEC-04","Bảo mật","Giao diện phải hạn chế XSS, clickjacking, MIME sniffing và rò rỉ referrer bằng CSP/security header phù hợp."
"NFR-PRIV-01","Riêng tư","Không truyền video liên tục; chỉ gửi telemetry theo lô và snapshot tại sự kiện cần bằng chứng."
"NFR-PRIV-02","Riêng tư","Không lưu mã truy cập/mã làm mới của Google; chỉ lưu thuộc tính OIDC tối thiểu và dạng băm của mã xác thực khi có thể."
"NFR-REL-01","Tin cậy","Một detector lỗi tạm thời không được làm crash toàn bộ phiên CV."
"NFR-REL-02","Tin cậy","Client mất mạng phải được đánh dấu disconnected; desktop CV vẫn có khả năng ghi log/báo cáo cục bộ."
"NFR-PERF-01","Hiệu năng","Detector nền dùng chung chỉ chạy một lần cho mỗi frame; YOLO được throttle theo thời gian."
"NFR-PERF-02","Hiệu năng","Telemetry mạng được gửi theo lô, mặc định khoảng một giây, không commit database ở mọi frame."
"NFR-MAIN-01","Bảo trì","Ngưỡng và trọng số thuật toán phải tập trung trong cấu hình có kiểm tra hợp lệ."
"NFR-MAIN-02","Bảo trì","Signal Extractor, data schema và authorization phải có interface/quy tắc tập trung và kiểm thử hồi quy."
"NFR-EXPL-01","Giải thích","Mỗi cảnh báo phải truy được risk score, state, tín hiệu đóng góp, thời gian và evidence liên quan."
"NFR-PORT-01","Triển khai","Backend có thể chạy local development hoặc Docker Compose; dữ liệu bền vững qua volume phù hợp."
"NFR-TEST-01","Kiểm thử","Chức năng lõi phải có unit/integration test; metric CV phải công bố dataset, ground truth và đơn vị đánh giá."
