"Nhóm giao diện","Route/thành phần","Vai trò","Dữ liệu vào và thao tác chính","Dữ liệu đầu ra"
"Đăng ký/onboarding","/ui/register, /ui/register/organization","Người dùng mới","Thông tin tài khoản, Google profile, thông tin tổ chức","User, organization và membership ban đầu"
"Đăng nhập/MFA","/ui/login, /ui/mfa, /ui/mfa/verify","Nhân sự hệ thống","Credentials, OAuth hoặc OTP/recovery code","Phiên cookie HttpOnly, trạng thái MFA"
"Tài khoản cá nhân","/ui/settings","Người dùng đã đăng nhập","Hồ sơ, mật khẩu, phiên và tổ chức đang hoạt động","Thông tin tài khoản/cấu hình bảo mật mới"
"Tổng quan tổ chức","/ui/organization/overview","Organization Admin/Member","Chọn tổ chức, xem KPI và trạng thái","Thống kê tenant và lối tắt nghiệp vụ"
"Quản trị tổ chức","/ui/organization, /settings, /policy, /break-glass, /audit","Organization Admin","Member, invitation, policy, access grant, audit filter","Membership/policy/grant/audit theo tenant"
"Tổng quan hệ thống","/ui/system","System Admin có MFA","Truy vấn thống kê nền tảng","KPI và trạng thái tổ chức/hệ thống"
"Quản trị hệ thống","/ui/system/organizations, /security, /policy, /evidence, /audit","System Admin","Tổ chức, quota, security floor, audit/evidence filter","Cấu hình nền tảng và nhật ký có kiểm soát"
"Danh sách kỳ thi","/ui/exams, /ui/exams/overview","User có exam capability","Tìm kiếm/lọc/tạo hoặc mở kỳ thi","Danh sách kỳ thi trong phạm vi được phép"
"Quản lý kỳ thi","/ui/exams/{id}/manage","Owner/Exam Manager","Metadata, thời gian, policy, assignment, lifecycle","Exam version, readiness và join code"
"Dashboard","/ui/exams/{id}/dashboard","Proctor/Exam Manager","Filter, WebSocket ticket, chọn phiên","KPI, current state và cảnh báo realtime"
"Chi tiết phiên","/ui/exams/{id}/sessions/{session_id}","Proctor có capability","Chọn event, tải evidence, review, request report","Timeline, snapshot, verdict và report status"
"Thiết lập thí sinh","extension/src/setup.html","Candidate","Join code, identity, consent, preflight","Session token và active session state"
"Bảng giám sát thí sinh","content-monitor.js","Candidate","Camera/screen/fullscreen và thao tác kết thúc","Device health, browser event và heartbeat"
"Desktop CV","AppController/OpenCV window","Candidate","Tên, join code, webcam, enrollment/liveness","Signal state, risk, violation và log cục bộ"
"Báo cáo","HTML/PDF do reporting worker sinh","Proctor/Exam Manager","Metadata, review và evidence của phiên","Báo cáo thống kê, timeline và snapshot"
