"Vấn đề","Quyết định cài đặt"
"Detector nặng","Dùng chung PerceptionResult; throttle YOLO"
"Nhiễu từng frame","Debounce/cửa sổ thời gian và state machine độc lập"
"Log cảnh báo bị trùng","Chỉ sinh violation ở rising edge"
"Mất landmark","Trả confidence 0; không nhân bản vi phạm sang signal khác"
"Mất backend","Desktop tiếp tục local; gửi mạng best-effort"
"Client không tin cậy","Schema chặt, server timestamp và tính/đối chiếu dữ liệu dẫn xuất"
"Token WebSocket browser","Ticket ngắn hạn, dùng một lần"
"Truy cập chéo tenant","Authorization tập trung theo membership/assignment"
"Dữ liệu trạng thái và timeline khác tải","SQL cho current state; JSONL cho append-only evidence"
"Sinh PDF có thể chậm","Report job và worker nền"
