"Mã","Use case","Tác nhân chính","Phạm vi","Kết quả đầu ra"
"UC-01","Quản trị nền tảng","System Admin","Toàn hệ thống","Tổ chức, quota, system policy và audit được cập nhật"
"UC-02","Quản trị tổ chức","Organization Admin","Một tổ chức","Thành viên, invitation, policy và access grant được quản lý"
"UC-03","Tạo và cấu hình kỳ thi","Exam Manager/Owner","Một kỳ thi","Exam, join code, thời gian, policy và assignment hợp lệ"
"UC-04","Kiểm tra readiness và mở kỳ thi","Exam Manager/Owner","Một kỳ thi","Danh sách điều kiện đạt/chưa đạt; trạng thái kỳ thi được chuyển hợp lệ"
"UC-05","Tham gia và xác thực thí sinh","Candidate","Một kỳ thi/phiên","Candidate identity, session token và policy hiệu lực"
"UC-06","Khởi tạo giám sát thiết bị","Candidate","Phiên của chính mình","Consent, preflight, enrollment/liveness và client connection"
"UC-07","Theo dõi phiên thời gian thực","Proctor, Exam Manager","Kỳ thi được phân công","KPI, session state, risk, integrity và cảnh báo mới nhất"
"UC-08","Xem evidence và review sự cố","Proctor có capability","Phiên được phân công","Verdict và ghi chú review, không sửa sự kiện gốc"
"UC-09","Kết thúc phiên","Candidate hoặc nhân sự có quyền","Một phiên","Trạng thái kết thúc và lý do được ghi nhận"
"UC-10","Sinh và tải báo cáo","Exam Manager/Proctor có capability","Một phiên/kỳ thi","Report job và tệp HTML/PDF có thể truy vết"
