"Mã","Chuẩn bị và thao tác","Kết quả mong đợi","Bằng chứng cần lưu","Kết quả thực tế"
"MT-01","Đăng ký tài khoản/tổ chức; đăng nhập và hoàn tất MFA","Tạo đúng người dùng/tư cách thành viên; cookie phiên hợp lệ; MFA sai bị từ chối","Ảnh màn hình đăng ký, đăng nhập, tài khoản và nhật ký xác thực/kiểm toán","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-02","System/Organization Admin mở chính sách, bảo mật, nhật ký và thử truy cập ngoài quyền","Menu đúng vai trò; thao tác hợp lệ thành công; truy cập chéo bị 403/404","Ảnh màn hình quản trị, phản hồi HTTP và bản ghi kiểm toán","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-03","Exam Manager tạo kỳ thi, chính sách, nhiệm vụ, mã tham gia và chạy kiểm tra sẵn sàng","Chỉ đạt trạng thái sẵn sàng khi đủ điều kiện; phiên bản/trạng thái được cập nhật đúng","Ảnh màn hình kỳ thi và phản hồi API","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-04","Thí sinh nhập mã trên tiện ích, xác thực, xem chính sách, đồng ý và kiểm tra trước phiên","Mã hợp lệ trả chính sách; thiếu quyền/sự đồng ý bị chặn; phiên được tạo đúng thí sinh","Ảnh màn hình tiện ích và nhật ký mạng/tiến trình nền","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-05","Kích hoạt phiên tiện ích và phát sinh sự kiện chuyển thẻ, mất tập trung, rời toàn màn hình hoặc dùng bảng tạm","Trạng thái hoạt động đúng; sự kiện/nhịp kết nối đến máy chủ và xuất hiện trên chi tiết phiên","Ảnh tiện ích, bảng điều khiển, chi tiết phiên và nhật ký WebSocket","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-06","Chạy ứng dụng CV: IDLE → ENROLLMENT → MONITORING","Trạng thái chuyển đúng; đăng ký thất bại không chuyển sang giám sát; camera được giải phóng khi kết thúc","Ảnh các trạng thái của ứng dụng và nhật ký cục bộ","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-07","Tạo một hành vi đủ ngưỡng cảnh báo CV","Bảng điều khiển cập nhật điểm/trạng thái; vi phạm chỉ sinh tại cạnh chuyển vào cảnh báo; ảnh chụp gắn đúng sự kiện","Ảnh bảng điều khiển/chi tiết phiên, JSONL và ảnh bằng chứng","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-08","Ngắt mạng/WebSocket rồi phục hồi","Giao diện báo mất realtime; client retry theo thiết kế; current state được nạp lại mà không nhân đôi event","Chụp trạng thái trước/sau, sequence và server log","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-09","Dùng tài khoản/tổ chức khác mở URL exam/session/evidence đã biết","Không lộ tài nguyên; backend trả 404 hoặc 403 theo quy tắc phạm vi","HTTP response và security audit","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-10","Giám thị mở bằng chứng, nhập kết luận/ghi chú và lưu hậu kiểm","Bản hậu kiểm có người thực hiện/dấu thời gian; sự kiện vi phạm gốc không đổi","Ảnh màn hình hậu kiểm, bản ghi cơ sở dữ liệu và JSONL trước/sau","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-11","Yêu cầu báo cáo, chạy tiến trình nền và tải HTML/PDF","Tác vụ đi qua các trạng thái hợp lệ; báo cáo hiển thị đúng tiếng Việt, diễn biến, sự kiện và ảnh","Ảnh báo cáo, bản ghi ReportJob và tệp đầu ra","Chưa ghi nhận – bổ sung sau khi chạy"
"MT-12","Khởi động lại container và chạy chính sách lưu trữ ở chế độ thử","Cơ sở dữ liệu/bằng chứng còn trên vùng dữ liệu; chế độ thử chỉ liệt kê, chưa xóa","Hình 5.1, nhật ký container/vùng dữ liệu và đầu ra chạy thử","Chưa ghi nhận – bổ sung sau khi chạy"
