"Kịch bản","Luồng được kiểm chứng","Bằng chứng hiện có","Đánh giá"
"Chuẩn bị tổ chức","Tạo tổ chức, membership, role, policy và quota","API/UI route, migration và test auth/RBAC/policy","Đạt trong phạm vi kiểm thử tự động"
"Chuẩn bị kỳ thi","Tạo kỳ thi, cấu hình, assignment, readiness và join code","Lifecycle, optimistic locking, assignment, join-code test","Đạt trong phạm vi kiểm thử tự động"
"Thí sinh tham gia","Kiểm tra mã, xác thực thủ công/Google, consent, cấp session token","Candidate auth, Google OIDC giả lập, token-type test và extension setup test","Đạt về logic; cần kiểm tra OAuth/permission thật"
"Khởi động desktop CV","IDLE → ENROLLMENT → liveness → MONITORING","Controller, enrollment/liveness, smoke và video integration test","Đạt về chức năng; phụ thuộc webcam/môi trường"
"Giám sát trình duyệt","Preflight, tab/focus/fullscreen/clipboard, heartbeat","Extension source, Node test, browser-event validation test","Đạt phần logic; cần chạy Chrome/Firefox thật"
"Truyền dữ liệu realtime","Client hello, telemetry, violation, browser event, heartbeat, dashboard fan-out","WebSocket schema, ticket, sequence/dedup và authorization test","Đạt trong phạm vi backend test"
"Giám sát và mở chi tiết phiên","REST initial state, WebSocket update, filter, risk/evidence timeline","Dashboard route/static source, tenant-isolation và WebSocket test","Đạt về tích hợp phía server; cần kiểm tra UI đa phiên thật"
"Kết thúc và hậu kiểm","End session, incident review, snapshot access và audit","Session-end, review, snapshot/path traversal và audit test","Đạt trong phạm vi kiểm thử tự động"
"Sinh báo cáo","Report job → worker → HTML/PDF → trạng thái completed/failed","Reporting consistency, report-job và tolerant-loader test","Đạt về chức năng"
"Mất kết nối/lỗi dữ liệu","Socket gián đoạn, message sai schema, dữ liệu trùng, backend unavailable","Validation, dedup, connection manager và local best-effort behavior","Đạt một phần; cần thử nghiệm mạng gián đoạn dài"
